"Tipo","horario","Nombre","Base","Departamento","Dirección","x","y",""
"SAMU","24H","ALFA 1","H ALICANTE","19","C. del Maestro Alonso, 97A, 03010 Alicante","38.3627772331","-0.48427820",""
"SAMU","24H","ALFA 2","SAN VICENTE","19","Partida de Canastell, 16, 03690 Sant Vicent del Raspeig, Alicante","38.4042227268","-0.53099155",""
"SAMU","24H","ALFA 3","SAN JUAN","17","Av. Locutor Vicente Hipólito, 7, 03540 Alicante (Alacant), Alicante","38.37220788","-0.43302655",""
"SAMU","24H","ALFA 4","ELDA BUNGALOW AYUNTAMIENTO","18","C. Pico Veleta, 7A, 03600 Elda, Alicante","38.4926712513","-0.79919100",""
"SAMU","24H","ALFA 5","VILLENA INST CRUZ ROJA","18","Pol. Ind. de Bulilla, 03400, Alicante","38.620891571","-0.85011005",""
"SAMU","12H","ALFA 6","LA VILA CS LA VILA","16","C. Carles Llorca i Baus, s/n, 03570 La Vila Joiosa, Alicante","38.511736393","-0.23129225",""
"SAMU","24H","ALFA 7","BENIDORM CS FOIETES","16","Av. Venezuela, 12, 03502 Benidorm, Alicante","38.5425496101","-0.13738275",""
"SAMU","24H","ALFA 8","ALCOY CS LA FABRICA","15","C. Alcoleja, 4, 03802 Alcoy, Alicante","38.6963903904","-0.48099518",""
"SAMU","24H","ALFA 9","DENIA H PEDRERA","13","Partida Plana d'Est, 4, 03700 Dénia, Alicante","38.8283336163","0.0954759121",""
"SAMU","12H","ALFA 10","ALICANTE INST BOMBEROS C/ ITALIA","19","C. Italia, 21, 03003 Alicante (Alacant), Alicante","38.3407187462","-0.48993230",""
"SAMU","24H","ALFA 11","BENISSA ECOPARK PEDRERA","13","C. Denis Papin, 8 y 10, 03720 Benisa, Alicante","38.72809410","0.0787067413",""
"SAMU","24H","DAMA1","ELCHE","24","Lugar Llano San Jose Poligono 1, 3024, 03293 La Penya de les Àguiles, Alicante","38.2538044453","-0.74219942",""
"SAMU","24H","DAMA 2","ELCHE CS PLA","20","Carrer Manuel Alcaraz Mora, 13, 03204 Elx, Alicante","38.25429797","-0.70281386",""
"SAMU","24H","VICTOR 1","ORIHUELA SAN BARTOLOME","21","Calle, Ctra. de Almoradí, 2, 03314 Orihuela, Alicante","38.0893421173","-0.85857511",""
"SAMU","24H","VCTOR 2","TORREVIEJA PARQUE ACUATICO","22","Av. Rosa Mazón Valero, 10, 03183 Torrevieja, Alicante","37.9908943176","-0.68292260",""
"SAMU","24H","VICTOR 3","ROJALES PL GUARDAMAR","22","C. Madrid, 03140 Guardamar del Segura, Alicante","38.09587598","-0.66027403",""
"SAMU","12H","VICTOR 4","ORIHUELA BUNGALOW ORIHUELA COSTA","22","","","",""
"SVB","24H","BRAVO 1","ALICANTE INST BOMBEROS C/ITALIA","19","C. Italia, 21, 03003 Alicante (Alacant), Alicante","38.3409011364","-0.49008250",""
"SVB","24H","BRAVO 2","ALICANTE H ALICANTE","19","Av. Pintor Baeza, 12, 03010 Alicante","38.36358190","-0.48487902",""
"SVB","12H","BRAVO 3","ALICANTE H ALICANTE","19","Av. Pintor Baeza, 12, 03010 Alicante","38.36358190","-0.48487902",""
"SVB","24H","BRAVO 4","ALICANTE PUERTO","19","Ensanche Diputación, 03003 Alicante (Alacant), Alicante","38.3382940292","-0.48873067",""
"SVB","24H","BRAVO 5","ELCHE H ELCHE","20","Carrer Almansa, nº 4, 03206 Elx, Alicante","38.2820212841","-0.71375728",""
"SVB","24H","BRAVO 6","ELCHE H ELCHE","24","","","",""
"SVB","12H","BRAVO 7","TEULADA CS","13","","","",""
"SVB","12H","BRAVO 8","SAN JUAN 1 CS VISTAHERMOSA","17","Avinguda de Dénia, 140, 03016 Alacant, Alicante","38.37310910","-0.45340061",""
"SVB","24H","BRAVO 9","SAN JUAN 2 H SAN JUAN","17","Ctra. Nnal. 332 s/n, 03550 Sant Joan d'Alacant, Alicante","38.38814020","-0.43452859",""
"SVB","12H","BRAVO 10","SAN VICENTE CS SAN VICENTE","19","Calle Dr. Marañón, 1, 03690 San Vicente del Raspeig, Alicante","38.3918845654","-0.51738739",""
"SVB","12H N","BRAVO 11","CAMPELLO CS CAMPELLO","17","Carrer de Tirant lo Blanc, 18, 03560 El Campello, Alicante","38.4316134453","-0.39777160",""
"SVB","12H","BRAVO 12","LA VILA CS LA VILA","16","C. Palasiet, 03570 La Vila Joiosa, Alicante","38.5103309155","-0.22348166",""
"SVB","24H","BRAVO 13","BENIDORM CS FOIETES","16","","","",""
"SVB","24H","BRAVO 14","BENIDORM CS FOIETES","16","Av. Venezuela, 12, 03502 Benidorm, Alicante","38.5426998138","-0.13785481",""
"SVB","24H","BRAVO 15","ALTEA CS ALTEA","16","C. Villajoyosa, 2, 03590 Altea, Alicante","38.601654768","-0.05496383",""
